output_name,description,source_xlsx
mouse_down,Mouse Down movement,Singleton Right Analog for Copilot.xlsx
mouse_wheel_up,Mouse Wheel Up rotation,Singleton Right Analog for Copilot.xlsx
mouse_wheel_down,Mouse Wheel Down rotation,Singleton Right Analog for Copilot.xlsx
mouse_pan_left,Mouse Pan Left tilt,Singleton Right Analog for Copilot.xlsx
mouse_pan_right,Mouse Pan Right tilt,Singleton Right Analog for Copilot.xlsx
mouse_back,Mouse Button Back,Singleton Right Analog for Copilot.xlsx
mouse_forward,Mouse Button Forward,Singleton Right Analog for Copilot.xlsx
mouse_left_button,Mouse Button Left,Singleton Right Analog for Copilot.xlsx
mouse_right_button,Mouse Button Right,Singleton Right Analog for Copilot.xlsx
mouse_middle_button,Mouse Button Middle,Singleton Right Analog for Copilot.xlsx
digital_out1_on,Digital Out 1 turn on,Singleton Right Analog for Copilot.xlsx
digital_out1_off,Digital Out 1 turn off,Singleton Right Analog for Copilot.xlsx
digital_out1_toggle,Digital Out 1 toggle state,Singleton Right Analog for Copilot.xlsx
digital_out2_on,Digital Out 2 turn on,Singleton Right Analog for Copilot.xlsx
digital_out2_off,Digital Out 2 turn off,Singleton Right Analog for Copilot.xlsx
digital_out2_toggle,Digital Out 2 toggle state,Singleton Right Analog for Copilot.xlsx
brightness_up,LEDs Brighter,Singleton Right Analog for Copilot.xlsx
brightness_down,LEDs Dimmer,Singleton Right Analog for Copilot.xlsx
volume_up,Speaker increase volume,Singleton Right Analog for Copilot.xlsx
volume_down,Speaker decrease volume,Singleton Right Analog for Copilot.xlsx
increment_mode,Change to next profile,Singleton Right Analog for Copilot.xlsx
decrement_mode,Change to previous profile,Singleton Right Analog for Copilot.xlsx
ir_tv_channel_up,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_tv_channel_down,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_tv_volume_up,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_tv_volume_down,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_tv_on_off,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_tv_select_input,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_play,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_stop,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_fast_forward,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_rewind,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_skip_forward,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_skip_back,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_record,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_pause,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_mute,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_guide,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_menu,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_cancel,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_select,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_up,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_down,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_left,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_right,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_aux1,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_aux2,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_aux3,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
ir_aux4,Xmit IR code from command table,Singleton Right Analog for Copilot.xlsx
kb_a,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_b,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_c,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_d,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_e,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_g,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_h,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_i,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_j,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_k,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_l,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_m,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_n,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_o,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_p,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_q,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_r,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_s,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_t,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_u,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_v,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_w,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_x,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_y,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_z,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_1,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_2,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_3,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_4,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_5,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_6,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_7,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_8,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_9,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_0,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_enter,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_escape,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_backspace,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_tab,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_space,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_minus,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_equal,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_opening_bracket,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_closing_bracket,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_backslash,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_non_us_hashmark_and_tilde,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_semicolon,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_apostrophe,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_grave_accent_and_tilde,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_comma,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_dot,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_slash,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_caps_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f1,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f2,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f3,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f4,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f5,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f6,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f7,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f8,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f9,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f10,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f11,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f12,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_printscreen,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_roll_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_pause,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_insert,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_home,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_page_up,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_delete,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_end,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_page_down,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_right_arrow,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_left_arrow,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_down_arrow,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_up_arrow,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_num_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_slash,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_asterisk,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_minus,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_plus,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_enter,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_1,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_2,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_3,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_4,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_5,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_6,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_7,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_8,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_9,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_0,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_dot,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_non_us_backslash_and_pipe,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_power,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_equal_sign,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f13,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f14,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f15,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f16,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f17,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f18,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f19,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f20,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f21,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f22,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f23,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_f24,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_execute,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_help,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_manu,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_select,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_stop,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_again,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_undo,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_cut,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_copy,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_paste,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_find,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_mute,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_volume_up,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_volume_down,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_locking_caps_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_locking_num_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lockingroll_lock,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_comma,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_equal_sign,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international1,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international2,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international3,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international4,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international5,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international6,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international7,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international8,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_international9,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang1,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang2,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang3,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang4,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang5,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang6,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang7,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang8,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_lang9,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_alternate_erase,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_sisreq,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_cancel,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_clear,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_prior,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_return,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_separator,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_out,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_oper,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_clear_and_again,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_crsel_andprops,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_exsel,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_00,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_000,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_thousands_separator,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_decimal_separator,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_currency_unit,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_currency_sub_unit,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_opening_parenthesis,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_closing_parenthesis,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_opening_brace,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_closing_brace,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_tab,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_backspace,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_a,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_b,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_c,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_d,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_e,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_f,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_xor,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_caret,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_percentage,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_less_than_sign,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_greater_than_sign,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_amp,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_amp_amp,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_pipe,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_pipe_pipe,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_colon,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_hashmark,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_space,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_at,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_exclamation_sign,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_store,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_recall,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_clear,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_add,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_subtract,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_multiply,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_memory_divide,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_plus_and_minus,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_clear,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_clear_entry,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_binary,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_octal,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_decimal,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_keypad_hexadecimal,Keyboard send key,Singleton Right Analog for Copilot.xlsx
kb_left_control,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_left_shift,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_left_alt,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_left_gui,Keyboard modify key (Windows Key),Singleton Right Analog for Copilot.xlsx
kb_right_control,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_right_shift,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_right_alt,Keyboard modify key,Singleton Right Analog for Copilot.xlsx
kb_right_gui,Keyboard modify key (Windows Key),Singleton Right Analog for Copilot.xlsx
none,,Singleton Right Analog for Copilot.xlsx
dpad_N,PS3 D-Pad Button North,Singleton WASD.xlsx
dpad_NE,PS3 D-Pad Buttons North and East,Singleton WASD.xlsx
dpad_E,PS3 D-Pad Button East,Singleton WASD.xlsx
dpad_SE,PS3 D-Pad Buttons South and East,Singleton WASD.xlsx
dpad_S,PS3 D-Pad Button South,Singleton WASD.xlsx
dpad_SW,PS3 D-Pad Buttons South and West,Singleton WASD.xlsx
dpad_W,PS3 D-Pad Button West,Singleton WASD.xlsx
dpad_NW,PS3 D-Pad Buttons North and West,Singleton WASD.xlsx
left_joy_left,PS3 Left Joystick Left side,Singleton WASD.xlsx
left_joy_right,PS3 Left Joystick Right side,Singleton WASD.xlsx
left_joy_up,PS3 Left Joystick Up,Singleton WASD.xlsx
left_joy_down,PS3 Left Joystick Down,Singleton WASD.xlsx
right_joy_left,PS3 Right Joystick Left side,Singleton WASD.xlsx
right_joy_right,PS3 Right Joystick Right side,Singleton WASD.xlsx
right_joy_up,PS3 Right Joystick Up,Singleton WASD.xlsx
right_joy_down,PS3 Right Joystick Down,Singleton WASD.xlsx
left_1,PS3 Left Button 1,Singleton WASD.xlsx
left_2,PS3 Left Button 2 (trigger),Singleton WASD.xlsx
left_3,PS3 Left Button 3 (Press joystick),Singleton WASD.xlsx
right_1,PS3 Right Button 1,Singleton WASD.xlsx
right_2,PS3 Right Button 2 (trigger),Singleton WASD.xlsx
right_3,PS3 Right Button 3 (Press joystick),Singleton WASD.xlsx
x,PS3 Button X,Singleton WASD.xlsx
square,PS3 Button Square,Singleton WASD.xlsx
triangle,PS3 Button Triangle,Singleton WASD.xlsx
circle,PS3 Button Circle,Singleton WASD.xlsx
ps3,PS3 Home,Singleton WASD.xlsx
